pollutant_ppm,biological,is_contaminated,contamination_type
0.0,495.898,1,Biological
0.0,6.09608,1,Biological
2.715,0.0,1,Chemical
0.0288593,9.57e-05,0,Clean
0.0,22.5009,1,Biological
5.46739,0.0,1,Chemical
0.0140376,8.99e-05,0,Clean
6.05137,0.0,1,Chemical
0.0,485.162,1,Biological
7.64106,0.0,1,Chemical
1.99096,0.0,1,Chemical
5.89926,0.0,1,Chemical
0.084344,6.24e-05,0,Clean
0.0,182.88,1,Biological
0.0,44.2164,1,Biological
1.06885,0.0,1,Chemical
4.15909,0.0,1,Chemical
0.0862577,4.23e-05,0,Clean
4.97264,0.0,1,Chemical
1.28796,0.0,1,Chemical
0.0599682,2.42e-05,0,Clean
8.10898,0.0,1,Chemical
0.0,96.6341,1,Biological
0.0,318.664,1,Biological
0.050281,9.43e-05,0,Clean
0.0224843,9.88e-05,0,Clean
3.94125,0.0,1,Chemical
2.17517,0.0,1,Chemical
0.0,3.57905,1,Biological
0.0,485.162,1,Biological
7.07203,0.0,1,Chemical
0.0830754,1.1e-05,0,Clean
2.8855,0.0,1,Chemical
0.0,35.2462,1,Biological
2.43936,0.0,1,Chemical
5.30061,0.0,1,Chemical
0.0633972,5.89e-05,0,Clean
0.0,318.664,1,Biological
0.0290295,6.11e-05,0,Clean
9.30166,0.0,1,Chemical
0.0854418,2.91e-05,0,Clean
0.0,96.6341,1,Biological
0.0708139,6.22e-05,0,Clean
0.0406458,35.0068,1,Biological
0.0,262.668,1,Biological
6.2995,0.0,1,Chemical
0.0,262.668,1,Biological
0.0761867,3.16e-05,0,Clean
5.4852,0.0,1,Chemical
0.0340469,8.69e-05,0,Clean
7.56375,0.0,1,Chemical
0.0,485.162,1,Biological
0.0209784,3.98e-05,0,Clean
8.41125,0.0,1,Chemical
5.31081,0.0,1,Chemical
9.53661,0.0,1,Chemical
2.76116,0.0,1,Chemical
5.65229,0.0,1,Chemical
5.54799,0.0,1,Chemical
4.97475,0.0,1,Chemical
0.0,495.898,1,Biological
8.1551,0.0,1,Chemical
5.43926,0.0,1,Chemical
0.0391768,3.82e-05,0,Clean
0.0,262.668,1,Biological
0.0,15.4936,1,Biological
0.0370928,7.17e-05,0,Clean
1.69538,0.0,1,Chemical
0.088961,4.38e-05,0,Clean
0.0732487,3.84e-06,0,Clean
4.78533,0.0,1,Chemical
0.0834844,8.79e-05,0,Clean
9.43334,0.0,1,Chemical
5.9686,0.0,1,Chemical
0.0,262.668,1,Biological
0.0167354,2.79e-05,0,Clean
3.61361,0.0,1,Chemical
0.0116701,7.6e-05,0,Clean
0.0,267.371,1,Biological
0.0847516,9.61e-05,0,Clean
4.98908,0.0,1,Chemical
4.43419,0.0,1,Chemical
8.21822,0.0,1,Chemical
0.0743687,5.24e-05,0,Clean
0.0,21.7296,1,Biological
1.83791,0.0,1,Chemical
4.77361,0.0,1,Chemical
0.0570679,7.39e-05,0,Clean
8.90527,0.0,1,Chemical
1.17639,0.0,1,Chemical
0.0,12.1674,1,Biological
0.0,262.668,1,Biological
0.0897904,38.467,1,Biological
0.082105,4.02e-05,0,Clean
1.01623,0.0,1,Chemical
0.0231531,6.37e-05,0,Clean
6.21727,0.0,1,Chemical
0.0,262.668,1,Biological
0.0356204,9.8e-05,0,Clean
3.30184,0.0,1,Chemical
0.0716538,9.89e-05,0,Clean
0.0739334,5.75e-07,0,Clean
9.60353,0.0,1,Chemical
3.14474,0.0,1,Chemical
4.05258,0.0,1,Chemical
5.75138,0.0,1,Chemical
0.0766173,6.11e-06,0,Clean
3.39177,0.0,1,Chemical
3.775,0.0,1,Chemical
0.0,267.371,1,Biological
0.0,485.162,1,Biological
0.0,267.371,1,Biological
0.0645078,2.88e-05,0,Clean
0.0,318.664,1,Biological
0.0,262.668,1,Biological
0.0806449,2.58e-05,0,Clean
3.42129,0.0,1,Chemical
0.0,45.6479,1,Biological
0.0335904,4.25e-05,0,Clean
0.0,41.7373,1,Biological
0.0,495.898,1,Biological
7.90732,0.0,1,Chemical
0.072325,3.5e-05,0,Clean
3.0002,0.0,1,Chemical
0.0417335,4.75e-05,0,Clean
0.0,21.7428,1,Biological
0.0,267.371,1,Biological
0.0852829,3.25e-05,0,Clean
0.0737846,2.02e-05,0,Clean
2.53453,0.0,1,Chemical
0.0905594,3.58e-06,0,Clean
0.0,33.5022,1,Biological
0.0,96.6341,1,Biological
0.0590685,5.72e-05,0,Clean
4.23468,0.0,1,Chemical
0.0,2.2825,1,Biological
0.0,495.898,1,Biological
7.80671,0.0,1,Chemical
9.17495,0.0,1,Chemical
0.0,182.88,1,Biological
0.0,267.371,1,Biological
0.0,495.898,1,Biological
2.90509,0.0,1,Chemical
0.0779955,7.51e-05,0,Clean
0.0994519,3.78e-06,0,Clean
8.54974,0.0,1,Chemical
0.0,96.6341,1,Biological
0.0,10.9059,1,Biological
7.22682,0.0,1,Chemical
0.0390617,9.38e-05,0,Clean
0.0537728,5.75e-05,0,Clean
0.0,318.664,1,Biological
5.73406,0.0,1,Chemical
6.97992,0.0,1,Chemical
1.0886,0.0,1,Chemical
0.0554037,6.04e-06,0,Clean
0.0156032,5.78e-05,0,Clean
3.63726,0.0,1,Chemical
0.0353978,7.1e-05,0,Clean
5.5964,0.0,1,Chemical
9.87175,0.0,1,Chemical
0.0,262.668,1,Biological
1.44878,0.0,1,Chemical
0.0,267.371,1,Biological
6.77138,0.0,1,Chemical
1.18561,0.0,1,Chemical
0.0425095,19.2897,1,Biological
0.0570491,9.43e-05,0,Clean
0.0616449,2.71e-05,0,Clean
0.0,495.898,1,Biological
0.0891103,5.25e-05,0,Clean
8.08959,0.0,1,Chemical
6.46868,0.0,1,Chemical
5.22919,0.0,1,Chemical
9.14739,0.0,1,Chemical
7.55974,0.0,1,Chemical
0.0,318.664,1,Biological
0.0,47.6822,1,Biological
0.0290103,8.14e-05,0,Clean
0.0224974,4.92e-05,0,Clean
0.0,96.6341,1,Biological
0.0,182.88,1,Biological
0.0273801,2.14e-06,0,Clean
7.68968,0.0,1,Chemical
7.73566,0.0,1,Chemical
7.12503,0.0,1,Chemical
0.0,96.6341,1,Biological
0.0720096,6.3e-05,0,Clean
0.0,267.371,1,Biological
0.0,318.664,1,Biological
7.84951,0.0,1,Chemical
6.29586,0.0,1,Chemical
5.07338,0.0,1,Chemical
7.07081,0.0,1,Chemical
6.11705,0.0,1,Chemical
0.0,318.664,1,Biological
0.0238157,8.43e-06,0,Clean
9.94108,0.0,1,Chemical
0.0,182.88,1,Biological
9.41989,0.0,1,Chemical
0.0636227,5.33e-05,0,Clean
0.0499675,4.1e-05,0,Clean
0.0,495.898,1,Biological
0.0790458,4.52e-05,0,Clean
0.0508663,3.07e-06,0,Clean
0.0,5.69337,1,Biological
0.0278835,7.97e-05,0,Clean
6.24849,0.0,1,Chemical
2.62397,0.0,1,Chemical
0.0,182.88,1,Biological
2.97674,0.0,1,Chemical
0.0584376,8.93e-05,0,Clean
0.0909659,7.46e-06,0,Clean
0.0741615,6.94e-05,0,Clean
0.0,262.668,1,Biological
6.1822,0.0,1,Chemical
5.48888,0.0,1,Chemical
0.0636818,2.44e-05,0,Clean
0.0629153,1.4e-05,0,Clean
0.0,318.664,1,Biological
0.0,96.6341,1,Biological
0.0,262.668,1,Biological
0.0,262.668,1,Biological
0.0,35.4201,1,Biological
0.0,485.162,1,Biological
0.0661429,9.66e-05,0,Clean
4.78707,0.0,1,Chemical
0.038537,4.13e-05,0,Clean
1.57204,0.0,1,Chemical
4.53513,0.0,1,Chemical
7.83861,0.0,1,Chemical
7.92969,0.0,1,Chemical
7.36311,0.0,1,Chemical
0.0,318.664,1,Biological
6.36837,0.0,1,Chemical
3.40367,0.0,1,Chemical
3.20541,0.0,1,Chemical
0.0,10.0204,1,Biological
0.0638814,1.64e-05,0,Clean
0.0168935,5.83e-05,0,Clean
0.0,267.371,1,Biological
6.46589,0.0,1,Chemical
0.0105334,4.21e-05,0,Clean
0.0392653,3.56e-05,0,Clean
6.08516,0.0,1,Chemical
0.0,262.668,1,Biological
0.0,96.6341,1,Biological
1.82069,0.0,1,Chemical
8.01733,0.0,1,Chemical
0.029639,5.18e-05,0,Clean
0.0,495.898,1,Biological
0.0,43.8418,1,Biological
0.0701769,5.21e-05,0,Clean
0.0,485.162,1,Biological
7.28506,0.0,1,Chemical
0.0,318.664,1,Biological
0.0,267.371,1,Biological
3.57156,0.0,1,Chemical
9.70098,0.0,1,Chemical
5.3872,0.0,1,Chemical
3.34718,0.0,1,Chemical
8.71727,0.0,1,Chemical
0.0384882,5.12e-06,0,Clean
0.0,96.6341,1,Biological
6.16335,0.0,1,Chemical
0.0,182.88,1,Biological
4.09866,0.0,1,Chemical
0.0250624,6.93e-05,0,Clean
2.13401,0.0,1,Chemical
0.0217769,3.13e-05,0,Clean
6.38128,0.0,1,Chemical
6.01752,0.0,1,Chemical
5.18686,0.0,1,Chemical
0.0,39.1477,1,Biological
0.0,182.88,1,Biological
0.064792,4.83e-05,0,Clean
0.0547525,4.78e-05,0,Clean
0.032228,9.39e-05,0,Clean
4.09391,0.0,1,Chemical
4.40905,0.0,1,Chemical
0.0,14.2131,1,Biological
0.0,3.62236,1,Biological
7.80947,0.0,1,Chemical
0.0,262.668,1,Biological
0.0,495.898,1,Biological
0.0236485,2.63e-05,0,Clean
0.0,267.371,1,Biological
0.0960819,4.99e-05,0,Clean
5.10453,0.0,1,Chemical
4.98578,0.0,1,Chemical
7.993,0.0,1,Chemical
0.0364635,7.03e-05,0,Clean
3.2033,0.0,1,Chemical
3.15571,0.0,1,Chemical
0.0,25.4725,1,Biological
5.06792,0.0,1,Chemical
0.0,16.4956,1,Biological
9.75108,0.0,1,Chemical
0.0670408,1.89e-06,0,Clean
0.0,182.88,1,Biological
0.0,318.664,1,Biological
3.51455,0.0,1,Chemical
4.83662,0.0,1,Chemical
2.19799,0.0,1,Chemical
0.0812092,40.2273,1,Biological
0.0,318.664,1,Biological
0.0,267.371,1,Biological
