source_type_encoded,location_type_encoded,province_encoded,number_of_people_served,hour,day_of_week,is_weekend,time_in_queue
0,1,4,402,9,4,0,15
4,0,3,252,9,4,0,0
1,0,2,542,9,4,0,62
4,1,0,210,9,4,0,0
1,0,0,2598,10,4,0,28
0,0,3,862,10,4,0,9
3,0,0,496,10,4,0,0
2,0,3,562,10,4,0,0
4,1,2,308,10,4,0,0
2,1,1,556,10,4,0,0
4,0,2,296,11,4,0,0
1,0,3,562,11,4,0,17
1,0,4,3746,11,4,0,240
2,1,0,404,11,4,0,0
2,1,1,376,11,4,0,0
4,0,4,308,11,4,0,0
2,0,2,682,11,4,0,0
4,1,0,390,11,4,0,0
2,1,2,548,11,4,0,0
4,1,2,300,11,4,0,0
0,1,3,450,12,4,0,20
1,0,3,2050,12,4,0,171
4,1,2,334,12,4,0,0
2,1,2,322,12,4,0,0
2,0,1,392,12,4,0,0
4,0,4,394,12,4,0,0
4,1,0,350,12,4,0,0
2,1,3,600,12,4,0,0
3,1,0,644,12,4,0,0
4,0,0,234,12,4,0,0
3,1,0,334,13,4,0,0
4,0,0,208,13,4,0,0
1,0,2,2668,13,4,0,28
2,1,1,830,13,4,0,0
4,0,0,308,13,4,0,0
4,0,4,220,13,4,0,0
4,1,3,350,13,4,0,0
1,0,2,270,13,4,0,16
1,0,3,462,13,4,0,56
0,1,3,764,14,4,0,11
0,0,4,788,14,4,0,24
2,1,1,660,14,4,0,0
2,0,4,486,14,4,0,0
4,0,3,304,14,4,0,0
2,1,3,504,14,4,0,0
4,0,4,300,14,4,0,0
2,1,4,730,14,4,0,0
1,0,3,2602,15,4,0,211
2,1,1,740,15,4,0,0
2,1,3,690,15,4,0,0
2,1,1,640,16,4,0,0
4,1,0,238,16,4,0,0
1,0,0,288,16,4,0,16
4,1,0,252,16,4,0,0
2,0,2,832,16,4,0,0
2,0,1,362,16,4,0,0
3,1,2,940,16,4,0,0
4,0,4,162,16,4,0,0
1,0,3,462,7,5,1,107
1,0,4,3746,7,5,1,248
1,0,2,542,9,5,1,73
1,0,3,2602,11,5,1,167
1,0,3,2050,13,5,1,200
1,0,3,2602,9,6,1,103
1,0,2,542,11,6,1,39
1,0,3,2050,12,6,1,112
1,0,3,462,14,6,1,30
1,0,4,3746,14,6,1,104
1,0,3,462,7,0,0,89
4,0,2,264,9,0,0,0
1,0,2,542,9,0,0,75
3,0,1,790,9,0,0,0
2,0,1,382,9,0,0,0
3,1,0,988,9,0,0,0
4,0,4,358,9,0,0,0
4,1,2,216,10,0,0,0
2,0,1,678,10,0,0,0
3,0,1,706,10,0,0,0
3,1,3,650,11,0,0,0
1,1,1,1822,11,0,0,24
4,0,2,224,11,0,0,0
2,1,2,578,11,0,0,0
1,0,2,2880,11,0,0,29
4,0,0,202,11,0,0,0
4,1,2,374,11,0,0,0
1,0,4,3746,12,0,0,165
4,0,0,332,12,0,0,0
4,1,3,204,12,0,0,0
2,1,0,470,12,0,0,0
2,0,1,762,12,0,0,0
1,0,4,496,12,0,0,59
4,1,0,340,12,0,0,0
3,0,1,704,12,0,0,0
4,1,2,306,12,0,0,0
4,0,4,396,12,0,0,0
4,1,1,362,13,0,0,0
3,0,2,726,13,0,0,0
3,0,0,664,14,0,0,0
1,1,3,1380,14,0,0,123
3,0,0,808,14,0,0,0
4,1,4,288,14,0,0,0
3,1,4,768,14,0,0,0
0,1,4,754,14,0,0,14
4,0,2,178,14,0,0,0
2,1,1,776,14,0,0,0
3,1,0,880,15,0,0,0
1,0,3,2602,15,0,0,218
4,1,2,332,15,0,0,0
4,0,2,228,15,0,0,0
4,1,3,260,15,0,0,0
0,0,4,536,15,0,0,9
4,0,3,368,15,0,0,0
2,1,2,846,15,0,0,0
2,1,4,752,15,0,0,0
4,1,1,256,15,0,0,0
3,0,0,318,15,0,0,0
3,0,4,328,15,0,0,0
3,0,4,676,15,0,0,0
0,0,0,622,16,0,0,10
2,0,3,818,16,0,0,0
4,1,2,218,16,0,0,0
0,1,2,906,16,0,0,14
3,1,1,806,16,0,0,0
3,1,1,690,16,0,0,0
3,0,1,452,16,0,0,0
4,0,3,340,16,0,0,0
1,0,3,2050,18,0,0,176
1,0,3,462,7,1,0,29
1,0,4,3746,8,1,0,213
4,0,2,282,9,1,0,0
3,0,1,946,9,1,0,0
4,1,4,216,9,1,0,0
4,0,0,166,9,1,0,0
4,1,3,260,9,1,0,0
4,0,0,212,9,1,0,0
1,0,0,1286,9,1,0,21
3,0,4,958,9,1,0,0
1,1,3,1380,9,1,0,64
2,0,0,516,9,1,0,0
4,0,0,276,10,1,0,0
2,1,3,618,10,1,0,0
3,0,1,990,10,1,0,0
4,1,1,382,10,1,0,0
1,0,2,1402,10,1,0,22
1,0,2,542,10,1,0,28
1,1,1,944,10,1,0,19
2,0,4,980,10,1,0,0
2,0,0,528,10,1,0,0
0,0,4,838,10,1,0,14
3,1,1,778,11,1,0,0
1,1,3,3360,11,1,0,240
2,1,3,386,11,1,0,0
4,0,3,370,11,1,0,0
2,0,1,756,11,1,0,0
4,0,3,168,11,1,0,0
